item_id,item_label,media_item,config_pesos,ic95_inf,ic95_sup,rank_critico
CAL,Calibracao,2.272727272727273,nucleares,0.0,6.818181818181818,1
REP,Reprodutibilidade e Artefatos,6.818181818181818,nucleares,0.0,13.636363636363637,2
EXT,Testes entre Bases,18.181818181818183,nucleares,4.545454545454546,34.09090909090909,3
SUB,Subgrupos e Equidade,20.454545454545453,nucleares,11.363636363636363,29.545454545454547,4
ETH,"Etica, Privacidade e Uso Responsavel",22.727272727272727,nucleares,9.090909090909092,38.63636363636363,5
MET,Metricas e Incerteza,27.272727272727273,nucleares,13.636363636363637,45.45454545454545,6
VZ,Prevencao de Vazamento,38.095238095238095,nucleares,19.047619047619047,57.142857142857146,7
PRT,Particionamento e Validacao,43.18181818181818,nucleares,29.545454545454547,56.81818181818182,8
ROT,Anotacao e Qualidade do Rotulo,45.45454545454545,nucleares,34.09090909090909,56.81818181818182,9
SIN,Sincronizacao Multimodal,45.45454545454545,nucleares,22.727272727272727,70.0,9
ROB,Robustez e Sensibilidade,47.61904761904762,nucleares,32.5,62.5,10
DAD,Dados e Demografia,47.72727272727273,nucleares,36.36363636363637,59.09090909090909,11
CST,Custo e Latencia,52.38095238095238,nucleares,40.8982683982684,61.904761904761905,12
ESC,Escopo e Construto,56.81818181818182,nucleares,40.90909090909091,72.72727272727273,13
MOD,"Modelo, Hiperparametros e Treino",56.81818181818182,nucleares,52.27272727272727,63.63636363636363,13
PRE,Pre-processamento e Caracteristicas,70.45454545454545,nucleares,59.09090909090909,81.81818181818181,14
CAL,Calibracao,2.272727272727273,robustez,0.0,6.818181818181818,1
REP,Reprodutibilidade e Artefatos,6.818181818181818,robustez,0.0,13.636363636363637,2
EXT,Testes entre Bases,18.181818181818183,robustez,6.818181818181818,34.09090909090909,3
SUB,Subgrupos e Equidade,20.454545454545453,robustez,11.363636363636363,31.818181818181817,4
ETH,"Etica, Privacidade e Uso Responsavel",22.727272727272727,robustez,9.090909090909092,38.63636363636363,5
MET,Metricas e Incerteza,27.272727272727273,robustez,9.090909090909092,45.45454545454545,6
VZ,Prevencao de Vazamento,38.095238095238095,robustez,19.047619047619047,57.142857142857146,7
PRT,Particionamento e Validacao,43.18181818181818,robustez,29.545454545454547,59.09090909090909,8
ROT,Anotacao e Qualidade do Rotulo,45.45454545454545,robustez,34.09090909090909,56.81818181818182,9
SIN,Sincronizacao Multimodal,45.45454545454545,robustez,25.0,70.02083333333331,9
ROB,Robustez e Sensibilidade,47.61904761904762,robustez,31.818181818181817,63.63636363636363,10
DAD,Dados e Demografia,47.72727272727273,robustez,36.36363636363637,61.36363636363637,11
CST,Custo e Latencia,52.38095238095238,robustez,42.49013157894737,62.5,12
ESC,Escopo e Construto,56.81818181818182,robustez,40.90909090909091,72.72727272727273,13
MOD,"Modelo, Hiperparametros e Treino",56.81818181818182,robustez,52.27272727272727,63.63636363636363,13
PRE,Pre-processamento e Caracteristicas,70.45454545454545,robustez,59.09090909090909,81.81818181818181,14
CAL,Calibracao,2.272727272727273,uniforme,0.0,6.818181818181818,1
REP,Reprodutibilidade e Artefatos,6.818181818181818,uniforme,0.0,13.636363636363637,2
EXT,Testes entre Bases,18.181818181818183,uniforme,4.545454545454546,34.09090909090909,3
SUB,Subgrupos e Equidade,20.454545454545453,uniforme,11.363636363636363,29.545454545454547,4
ETH,"Etica, Privacidade e Uso Responsavel",22.727272727272727,uniforme,9.090909090909092,38.63636363636363,5
MET,Metricas e Incerteza,27.272727272727273,uniforme,9.090909090909092,45.45454545454545,6
VZ,Prevencao de Vazamento,38.095238095238095,uniforme,19.047619047619047,55.59523809523806,7
PRT,Particionamento e Validacao,43.18181818181818,uniforme,29.545454545454547,59.09090909090909,8
ROT,Anotacao e Qualidade do Rotulo,45.45454545454545,uniforme,34.09090909090909,56.81818181818182,9
SIN,Sincronizacao Multimodal,45.45454545454545,uniforme,22.727272727272727,68.18181818181819,9
ROB,Robustez e Sensibilidade,47.61904761904762,uniforme,33.3125,63.63636363636363,10
DAD,Dados e Demografia,47.72727272727273,uniforme,36.36363636363637,59.09090909090909,11
CST,Custo e Latencia,52.38095238095238,uniforme,42.5,61.904761904761905,12
ESC,Escopo e Construto,56.81818181818182,uniforme,38.63636363636363,72.72727272727273,13
MOD,"Modelo, Hiperparametros e Treino",56.81818181818182,uniforme,50.0,63.63636363636363,13
PRE,Pre-processamento e Caracteristicas,70.45454545454545,uniforme,59.09090909090909,81.81818181818181,14
