config_pesos,escopo,estrato,n,media,mediana,q1,q3,ic95_media_inf,ic95_media_sup,ic95_mediana_inf,ic95_mediana_sup
uniforme,global,TODOS,22,36.81818181818182,35.625,20.0,55.46875,29.493844696969695,44.71638257575758,20.0,51.5625
uniforme,estrato,FER,9,28.055555555555554,20.0,16.666666666666664,40.0,17.21990740740741,39.629629629629626,12.5,40.0
uniforme,estrato,MULTI,9,39.236111111111114,43.75,28.125,56.25,27.769097222222225,50.35590277777777,15.625,56.25
uniforme,estrato,SER,4,51.09375,56.25,42.5,64.84375,30.625,69.53125,20.0,71.875
nucleares,global,TODOS,22,37.125,35.791666666666664,20.833333333333336,55.50000000000001,29.55236742424243,45.19753787878788,20.833333333333336,50.958333333333336
nucleares,estrato,FER,9,27.77777777777778,20.833333333333336,14.583333333333334,39.58333333333333,17.12962962962963,38.888888888888886,12.5,39.58333333333333
nucleares,estrato,MULTI,9,39.77777777777778,44.0,26.0,56.00000000000001,27.11111111111111,52.22222222222222,14.000000000000002,57.99999999999999
nucleares,estrato,SER,4,52.18750000000001,57.958333333333336,41.145833333333336,69.0,32.625,71.0,20.833333333333336,72.0
robustez,global,TODOS,22,36.17965367965368,35.714285714285715,15.0,57.142857142857146,28.159902597402596,44.48119588744589,16.25,50.0
robustez,estrato,FER,9,25.64814814814815,15.0,13.333333333333334,42.5,14.534722222222223,37.13194444444444,12.5,42.5
robustez,estrato,MULTI,9,38.888888888888886,40.476190476190474,23.809523809523807,59.523809523809526,26.98412698412698,51.05820105820106,14.285714285714285,59.523809523809526
robustez,estrato,SER,4,53.779761904761905,60.714285714285715,41.875,72.61904761904762,30.982142857142858,75.0,17.5,76.19047619047619
