artigo_id,motivo_exclusao
ID_01,nao_empirico
ID_02,tarefa_na_fora_estratos
ID_03,tarefa_na_fora_estratos
ID_05,nao_empirico
ID_06,fora_janela_2021_2025
ID_10,nao_empirico
ID_11,fora_janela_2021_2025
ID_13,tarefa_na_fora_estratos
ID_20,tarefa_na_fora_estratos
ID_21,tarefa_na_fora_estratos
ID_22,fora_janela_2021_2025
ID_26,fora_janela_2021_2025
ID_29,fora_janela_2021_2025
ID_30,fora_janela_2021_2025
ID_35,fora_janela_2021_2025
ID_36,tarefa_na_fora_estratos
ID_37,tarefa_na_fora_estratos
ID_40,tarefa_na_fora_estratos
