modelo_familia,count,mean,median,min,max
ANN,8,0.180833625,0.0693,0.0616,0.595
Boosting_ML,4,0.45185,0.43609999999999993,0.34019999999999995,0.595
CNN,24,0.17380412499999998,0.15240399999999998,0.0,0.4984
Ensemble_ML,1,0.11427499999999999,0.11427499999999999,0.11427499999999999,0.11427499999999999
Multimodal,7,0.4109217142857143,0.14489999999999997,0.048552,0.85
RF,2,0.35126583333333333,0.35126583333333333,0.10753166666666665,0.595
RNN,3,0.16212444444444443,0.1281,0.10327333333333333,0.255
SVM,2,0.052599166666666655,0.052599166666666655,0.0,0.10519833333333331
Transformer,2,0.366729,0.366729,0.132258,0.6012000000000001
