artigo_id,ano,tarefa,titulo,empirico,just_empirico,quantitativo,just_quantitativo,
ID_01,2021,NA,A Mathematical Description of Emotional Processes and Its Potential Applications to Affective Computing,0,"Simulação numérica, sem dados reais.",0,Não se aplica.,
ID_02,2021,NA,A system for collecting emotionally annotated physiological signals in daily life using wearables,1,Estudo piloto com análise estatística.,1,Reporta Cronbach’s alpha (α) e percentuais.,
ID_03,2022,NA,Adapting the Interplay Between Personalized and Generalized Affect Recognition Based on an Unsupervised Neural Framework,1,Experimentos de ablação e comparação.,1,Reporta CCC e ACC.,
ID_04,2023,MULTI,Advanced Deep Learning Architectures for Real-Time Human Emotion Recognition and Behavioral Prediction,1,"Dados multimodais, com tabelas de resultados.",1,"Apresenta tabelas com ACC, Precision, Recall e F1-score.",
ID_05,2023,NA,Affective Computing for detecting psychological Flow state,0,Proposta metodológica sem experimentos realizados.,0,Não se aplica.,
ID_07,2022,NA,An Adaptive Deep Belief Feature Learning Model for Cognitive Emotion Recognition,1,Avaliação com métricas de precisão.,1,"Reporta ACC, Precision, Recall e contagens.",
ID_08,2023,MULTI,An Approach of Analyzing Classroom Student Engagement in Multimodal Environment by Using Deep Learning,1,Modelo avaliado com métricas quantitativas.,1,"Reporta ACC, Precision, Recall e F1-score.",
ID_09,2024,MULTI,An Open-Source Benchmark of Deep Learning Models for Audio-Visual Apparent and Self-Reported Personality Recognition,1,Benchmark comparativo com métricas quantitativas.,1,"Usa CCC, ACC e MSE.",
ID_10,2021,NA,Applying Probabilistic Programming to Affective Computing,0,"Artigo de posição/tutorial, sem métricas.",0,Não se aplica.,
ID_12,2024,FER,Breaking New Ground in Affective Computing: Enhanced Facial Expression Classification via CNN-SVM Integration,1,Modelo híbrido avaliado com métricas quantitativas.,1,"Reporta ACC, Precision, Recall e F1-score.",
ID_13,2024,NA,"Can Large Language Models Assess Personality From Asynchronous Video Interviews? A Comprehensive Evaluation of Validity, Reliability, Fairness, and Rating Patterns",1,Avaliação experimental de validade e viés.,1,"Usa R², ICC e correlação.",
ID_14,2024,MULTI,Cognitive Behavior-in-the-Loop: Towards an Attentive Driving in Intelligent Transportation Systems,1,Avaliação quantitativa com protótipo implementado.,1,"Reporta F1-score, Precision, Recall e p-valor.",
ID_15,2024,FER,Cognitive Resonance in Emotional Decoding: A CNN-ResNetB0 Synergy,1,CNN-ResNetB0 avaliada com métrica de acurácia.,1,Apresenta ACC e loss.,
ID_16,2024,FER,Comparative Analysis of CNN and SVM Models for Facial Emotion Recognition,1,Comparação quantitativa entre CNN e SVM.,1,"Compara ACC, Precision, Recall e F1-score.",
ID_17,2023,FER,Cross-Database Facial Expression Recognition using CNN with Attention Mechanism,1,Modelo com atenção avaliado em múltiplos datasets.,1,Apresenta tabelas de ACC em múltiplos datasets.,
ID_18,2023,FER,Deep Learning for Facial Expression Recognition using EfficientNetB0,1,EfficientNetB0 avaliado no dataset CK+.,1,"Reporta ACC, F1-score e RMSE.",
ID_19,2024,MULTI,Deep Learning-Based Emotion Recognition by Fusion of Facial Expressions and Speech Features,1,Modelo avaliado em três datasets distintos.,1,"Reporta ACC, loss e F1-score.",
ID_20,2022,NA,Dynamic Cat-boost enabled Keystroke analysis for user stress level detection,1,"Dados de voluntários, com avaliação por métricas.",1,"Apresenta tabela com ACC, Precision e F1-score.",
ID_21,2024,NA,Emotion Recognition in Conversation Based on a Dynamic Complementary Graph Convolutional Network,1,Experimentos comparativos em quatro datasets.,1,Usa F1-score (weighted e micro).,
ID_23,2024,FER,Facial Emotion Recognition (FER) Through Custom Lightweight CNN Model: Performance Evaluation in Public Datasets,1,Modelo leve testado em quatro datasets.,1,Compara ACC e tempo de inferência.,
ID_24,2023,FER,Facial Expression Recognition in the Wild using Artificial Rabbits Optimizer based Residual Neural Network,1,ResNet otimizada avaliada experimentalmente.,1,"Reporta ACC, Precision, Recall e F-measure.",
ID_25,2024,FER,Facial Expression Recognition with Transfer Learning: A Deep Dive,1,Transfer learning avaliado no dataset CK+.,1,"Reporta ACC global, Precision e Recall.",
ID_27,2023,FER,Identification of Emotions From Facial Gestures in a Teaching Environment With the Use of Machine Learning Techniques,1,Sistema educativo validado com dados reais.,1,Apresenta Precision por emoção e correlação.,
ID_28,2024,SER,Identification of Emotions in a given speech audio clip by using ANN,1,Treina uma ANN e apresenta tabela de resultados.,1,Reporta percentuais de ACC/identificação.,
ID_31,2024,MULTI,MSP-GEO Corpus: A Multimodal Database for Understanding Video-Learning Experience,1,Dataset com baseline para reconhecimento.,1,Reporta Cronbach’s alpha e CCC.,
ID_32,2024,MULTI,Multimodal Daily-Life Emotional Recognition Using Heart Rate and Speech Data From Wearables,1,Avaliação de fusão multimodal com dados de wearables.,1,Apresenta ACC e F1-score.,
ID_33,2023,MULTI,Multimodal Dyadic Impression Recognition via Listener Adaptive Cross-Domain Fusion,1,Propõe arquitetura com validação experimental.,1,Usa CCC (Concordance Correlation Coefficient).,
ID_34,2024,MULTI,Multi-Rater Consensus Learning for Modeling Multiple Sparse Ratings of Affective Behaviour,1,Experimentos estatísticos em dois datasets.,1,"Avalia com ACC, Precision, Recall e F1-score.",
ID_36,2022,NA,Quantitative Personality Predictions From a Brief EEG Recording,1,Experimento de predição usando EEG.,1,Apresenta correlação de Pearson.,
ID_37,2024,NA,TinyStressNet: On-device Stress Assessment with Wearable Sensors on Edge Devices,1,Usa datasets públicos e compara desempenho.,1,"Reporta ACC, Sensitivity, Specificity e F1-score.",
ID_38,2022,MULTI,Toward Personalized Affect-Aware Socially Assistive Robot Tutors for Long-Term Interventions with Children with Autism,1,Avaliação estatística com comparação de baselines.,1,Reporta AUROC e F1-score.,
ID_39,2024,FER,FacePsy: An Open-Source Affective Mobile Sensing,1,Estudo de campo com dados reais.,1,"Reporta AUROC, MAE, ACC e Precision.",
ID_40,2024,NA,Efficient Decoding of Affective States from Video-elicited EEG Signals,1,"Experimentos extensivos, com tabelas de acurácia.",1,Apresenta tabelas com Balanced Accuracy e F1-score.,
ID_41,2025,SER,Emotion Recognition in the Real-World: Passively Collecting and Estimating Emotions from Natural Speech Data of Individuals with Bipolar Disorder,1,Coleta e analisa dados reais.,1,Reporta métricas e testes estatísticos.,
ID_42,2023,SER,"Episodic Memory For Domain-Adaptable, Robust Speech Emotion Recognition",1,Executa experimentos em datasets.,1,Compara resultados numéricos entre modelos.,
ID_43,2022,SER,Privacy-preserving Speech Emotion Recognition through Semi-Supervised Federated Learning,1,Treina e avalia com dados.,1,Apresenta métricas de desempenho numéricas.,
ID_44,2025,SER,Machine Learning Methods for Speech Emotion Recognition,1,Treina modelos no dataset RAVDESS.,1,Informa acurácias e compara classificadores.,
ID_45,2024,SER,Speech Emotion Recognition for Call Centers using Self-supervised Models: A Complete Pipeline for Industrial Applications,1,Avalia modelo em dados de call center.,1,"Reporta métricas como UAR, ACC e F1-score.","Reporta métricas: UAR, accuracy, F1"
